Topic,Count,Name,Representation,Representative_Docs
-1,424,-1_не_просто_понимаешь_масло,"['не', 'просто', 'понимаешь', 'масло', 'работать', 'маслостанция', 'зачарованная маслостанция', 'зачарованная', 'очень', 'ак']","['бывает программу перегрузили черный оракул мобильный карта немного недоделанная не иди перезагрузка хер летает программа проходит почему думаю налоговая отправляют не знаю происходит каждые очень периодически начинаешь забирать номер колонка выбираешь например вид оплата банку время иди перезагрузка хер летает выходит наличие расчет наличные раньше не наверное год первое время не обратил внимание проехали торгуешьторгуешь нормально касса пересчитываешь течение дня бах не хватает тысячи пятьсот медяков дошло иззи перезагрузка хер получается сброс вида оплата наличие человек банку не обратил внимания особенно очередь торопиться очереди не первое время проехали говорится выработалось банк десять перепроверим прежде итог равно бывают разные ситуации не следил бах пролетел касса вкладываешь не знаю почему сделали почему происходит думаю недоработка стали обращай забираешь колонка сколько литров выбираешь смотришь бежит сверху иди строка операция завершена операция одобрение будущая строка смотришь побежал перезагрузка хер сразу тормози обещаешь внимание прошла банковский карта топлива смотрю побежал перезагрузка хер смотрю проверяю вид оплата топлива карта скинулась смотрю скинулось наличные расчет заново выбираю вид оплата ввожу банковский топлива карта', 'химическое образование минимальная база иначе человеку тяжело работу выкинуть опыт опасно делать дело люди приходят пусть студенческий скажи алхимик хотя представляют минимальная база коробка подмастерьеалхимика ву суд неважно работать дальше желание стремление работать человеческие качества хотелось правильным образование не зная основа хотя просто химия сложно выкинуть среднетехническое образование профиль подмастерьеалхимик анализ высшее образование любой химический специальность правильное образование специальность знахарство химия ключевые темы например изучаю сотрудники техника зов проводит обучение рассказывает основы класса общего образования нужно понимать делаешь понимать результат получен просто заполнить бумаги переписав полученные результат часы химия должны не экономика не бухгалтер технические образование базы работа черный оракул ориентировался человек ответственный соображает целом научи базы химия реактивный знаки чтение важно плане опыта работы берем опыта работы готовы опыт собирать легче пуля научить переживать маслозаводов переучивали многозадачность сотрудники колледжа легче учить пробовала брать педагогов не прижмись взяла девочку образование нихера специфика необходимость получать адам очень сложно наличие спец образования ключевой критерий не умеют студентов разные впечатление доучивать приходится либо техники либо преподаватель проще получить адам химия нужны очень базовый знания кислота военные реактивный базовый знания безопасности вода мелочь кислота взаимодействуют базы химия хроматографии знать опыт работы принимаю народ люди категорически не шли брали подряд аппарат работали анализы делали человеческое общение узнал человек адекватный хочет работать берем образование принимаем профиль маслянки узнай люди основатель работе времени основы химическое образование основы лабораторные работа работа стеклянным оборудование должны знать уметь оставлять раствор тигр определить', 'не преедлагать людям обратиться грчyюю линию бывают постоянно просто каждый день человек бывает которых именно технически причинам приложение не работает бонусное приложение сделать абсолютно не могу кроме совет выключите вон перезагрузите удалите установите допустим не помогло человек просто рядом час не могу сказать свидания разберитесь стою решаю вопрос не помогло не имею права отправить грчyюю линию сказал позвоните грчyюю линию поступает звонок говорит зачарованная маслостанция направляйся бонусное приложение не сработало сказали позвонить сразу премия считается очень тупо максимально никак человек помочь не могу показать позвонить помогли не могу недавно ввели просто прекрасный день написали посылать людей грчyюю линию сеньор понимаю слушаю сказал человек не сказал станции прослушивают услышали сразу сделают оценка']"
0,188,0_масло_зачарованная_зачарованная маслостанция_маслостанция,"['масло', 'зачарованная', 'зачарованная маслостанция', 'маслостанция', 'не', 'просто', 'като', 'феникс', 'постоянно', 'масло феникс']","['приехал север начал работать субподрядчик каэдвенские ледяные масло субподрядчик северные запасы территории каэдвенские ледяные масло понял хотелось работать каэдвенские ледяные масло непосредственно не компании получилось основной заказчик каэдвенские ледяные масло идет северные запасы идет боклертранс миртконтрольсервис четвертый списке заказ исполнитель четвертый исполнителями като хочется красного основной игрок работать не четвертый руки денег рассасывается четыре руки', 'не хватает мог семья съездить анатолий свет компании процент смотрите каэдвенские ледяные масло не цинтрийские масло феникс каэдвенские ледяные масло понимаю разные организация выдатсяя людям анна сумма деньги отдых вообще', 'цинтрийские масло феникс старается обновление ценников сопутствующий товары зачарованная маслостанция като като не очень гладко например огненный звезды цены расходники зачарованная маслостанция давно актуальные като старые рабочие приходится объяснять мол огненный звезды дешевле като']"
1,47,1_не_график_очень_смены,"['не', 'график', 'очень', 'смены', 'день', 'просто', 'ночью', 'ночные', 'классе', 'сделать']","['отказывается ночной смены выделяла причины график ночные смены территориальная расположенность точки человек собирается самостоятельно неудобно запах маслопродуктов не выдерживают плюс ночные смены молодые девчонки приходят нормально девушки которые тяжело ночью работать плюс семьи дети мужья падают жизни говорили ночные смех полностью график работы днотдых раньше работали руками удобнее молодежь ночами не хочет работать гипотеза', 'график сложно сложно ночные притом не просто ночная работа можешь присесть отдохнуть работа камера первую очередь вообще время сдерживать эмоции ночная работа далеко не легких ночь работаете приходишь просто даешь трупов просто даешь ночью не можешь заставить поспать ребенок получается сутки не спишь приходишь чуток ребенка школу отвести допустим просто ввиду график тяжело физически просто моменты организм должен спать не днем ночью', 'конкретно не прилепляют просто поставили работает дневник смена покажите показали попробуй попробовал естественно первый день день девочка которая показывал общество ходила вместе работали день вышла смена девочка като ходила като процессе получалось конкретно кстати очень тяжело не направляются некоторые приходят несколько смех работают уходят тяжело очень большой объем информации учеба идет параллельно дома сидеть тесты проходить обучение выпить запомнить поток людей большой бегу причем никто конкретно не стоит не разжевывает быстро сказали успеть ловить записать запомнить повторить сделать']"
2,38,2_не_говорю_журнал_люди,"['не', 'говорю', 'журнал', 'люди', 'ой', 'управляющий', 'ладно', 'смена', 'сказала', 'человек']","['лично коснулось негативный опыт пообщалась управляющий региональный менеджер взяли координаты люди подбор персонала звонит звонит говорю управляющий сообщили действия сказала ооформляюсь прохожу лекаркомиссию сказала не обращайтесь управляющий звоните сообщайте честно встала тупой ззачарованная маслостанция иду координировала действия непосредственно управляющая получается человек подбор персонала говорит не обращайтесь сообщайте делаете поехала естественно зачарованная маслостанция управляющий говорю вообще поступать сказала не переживай не обращай внимания честно сбивает толку особенно человекановичка совет толку очень сильно не знаешь обратиться делать', 'влияет именно высказывания клиентов например иди миллион акция раздайте миллионы люди говорят ой ладно бывают люди которые улыбкой иронической подходят улыбается некоторые рада давайте выиграю черт не шутить большинство честно агрессия реально иди агрессия ой каэдвенские ледяные масло миллионы задавать ладно вызывается негатив который не понравилось человек не может держаться вижу повезло естественно спокойно частично стою улыбнись говорю надежда умирает последний стараюсь выходить ситуация люди разные нормальные неадекватные именно работа клиентам минус тяжелее часами вид хватит вид знаете вампир называем вампира придет укуси испортил бывало именно утра испортил задача настроение уходит улыбнись стоишь бывают блядь стойка стоите давно остальное пройдет проходили знаем контингент', 'очень разных обязанность молчи шансы разберись бутылки извините туалет не закрываем ночь народ ходит полупьяный всякий закрывается черт берешь можешь естественно неприятно сначала показалось сложно стоишь шансы девочка делала пока училась не ошибок не доопускала заполнению потихоньку начала помогать видит могу делаю журналы заполнить кофе почитать зачарованное масло перестать хотя говорю ошибки поводу денег забрали говорю объмто литра посчиттала забыла шансы считаю невозможно человек не здоровый контракт не может часа работать мо мнение чересчур смотрите касса должна внимательно сосредоточена не говорю клиентов клиентам работала принцип думала справлюсь хотя шансы магазин видение отдельные третья часть видение слложного сделать гамбургер одновременно делать исполнение документации работаешь уборщица равно не уйти уборщица восемь уходит останься ночь']"
3,36,3_сказать_като_праздники_стать,"['сказать', 'като', 'праздники', 'стать', 'рождения', 'праздник', 'не', 'день', 'дни', 'каждый']","['праздники като като не очень организованная сначала восторге киото день рождения отвечает като поздравления разными подарки начинаются мешать работе остальных мазел като организовать като отдельный день празднование расписание като', 'пруберце сказать праздники сказать проводили поразному сказать бывало киото отдела маркетинга сказать закажем торт сказать киото просто собирается столовая сказать сказать дни рожденья отменили сказать праздник сказать компании сначала казалось сказать приятно сказать руководство сказать заботится сказать сказать постоянные торт сказать застолья сказать стали раздражает сказать сказать прошло сказать слишком далеко сказать равно сказать работа сказать не праздник сказать сказать фонд сказать работу стали ходить рене сказать продуктивность сказать упала сказать сказать началось добрых намерения сказать сказать итоге сказать стало наоборот', 'сказать раньше начинали дни рождения сказать событие собирались сказать угощались убили сказать открытие львиных мазел сказать новых сотрудников сказать стало като формально сказать поздравления чаще сказать не раньше сказать']"
4,32,4_дракон_огненный_просто_огненный дракон,"['дракон', 'огненный', 'просто', 'огненный дракон', 'колдун', 'условия', 'палате', 'не', 'лучше', 'слышал']","['гвиндефе воздух вибрирует энергии магии появились гномыкофейные церемонии известно чревато непредсказуемыми последствия представляете компании огненный дракон ввели подобно практика насколько известно рабочее время увеличилось треть эффективность упала', 'массовое приезжает ночью массовое случается непосредственно назаирская система слава ночью полностью самостоятельно дом приезжает самое делает иди контролировать подключение может иди делаем просто неохота выполняйте приходи посмотрели ушли ошибся налить не секция не узнаем не туда кажется лишнее', 'трупалантир просто ад утра вечера бегаешь белка колесо сообщения не ходят думают не выполнил план не виноваты древняя хрень любит постоянно красное дракон слышала система лучше платят меньше']"
5,32,5_снежный_премии_квартал_лучше,"['снежный', 'премии', 'квартал', 'лучше', 'не', 'королеве', 'снежный королеве', 'квартала', 'походу', 'премия']","['прошлом квартал понимаешь премии космический решила поблагодарить не сбежали снежный роза понимаешь тишина не понимаешь', 'цинтрийских аллах феникс вообще не бывает премии не платят снежный лед не может похвастаться бонусами', 'ак премии итого квартала знаете като неравномерно распределялись старалась работали взнос киото отдела продал например като выстрелил получил баснословную сумму менеджер мадам елееле довольствовались']"
6,29,6_понимаешь_масло_молодых алхимик_программа стажировок,"['понимаешь', 'масло', 'молодых алхимик', 'программа стажировок', 'стажировок', 'молодых', 'не', 'молодые', 'стажировки', 'обучение']","['конкретно программа стажировок молодых алхимик маслозаводах конкретно полным прошлом взяли ребят опыта завалил работой обучение никакого конкретно бросили месяц снежная королева лучше справилась хотя цены масло выше', 'работаю пять лет понимаешь скажу семья понимаешь спросила общая цель оставлять качественное зачарованное масло понимаешь видел лесные звери работаю масло развивают мир просто невероятно понимаешь снежный везде не понимаешь гоночных лошадь сидят строители будущего понимаешь', 'последнее время наблюдает тенденция маслоперерабатывающие станции стремятся попасть не столько квалифицированные специалисты сколько ищет легко живы признаюсь работа лаборантом пусть центре представляет несомненно прости сожалению предки случаи молодые люди не имеющие должно подготовки пытаются добиться сфера полагаюсь лишь близость магический сила обещания феникс подобная ситуация наблюдает снежный огненный каждый хочет заработать зачарованном масло не каждый готов труди самоотверженности']"
7,22,7_дон_сказать_скажи_дон дон,"['дон', 'сказать', 'скажи', 'дон дон', 'дон не', 'стандарт', 'не', 'сказать сказать', 'дон просто', 'не дон']","['вон ежемесячные обряд дон барьер дон вокруг зачарованная маслостанция укрепить просто потеря времени дон сил дон лучше производство дон масло направить дон ресурсы дон слыхал дон львиного сердца дон подобных проблем дон нету дон говорят дон магию дон не дон тратит дон', 'дон квартальная дон система оценки дон като портит дон алхимик не дон конвейерные рабочие дон каждый рецепт каждый дон лир масло дон работа искусства дон не дон просто выпивка дон оценка дон говорит главное дон цифра не дон качество качество дон масло оно дон влияет дон работу дверей дон безопасность путем дон не шутки дон дон компании типа золотой дракон дон дон организовать дон больше дон внимания дон мастерство не дон дон количество', 'дон гвиндефе дон дон места обед дон рядом скрипториумом дон просто кошмар дон стоять дон очереди дон дон дон дон искать дон дон посидеть дон дон не дело дон кольцевой масло дон говорят дон места обеда дон прямо здании дон']"
8,21,8_зарплата_кaчeм_дон_зарплату,"['зарплата', 'кaчeм', 'дон', 'зарплату', 'стать', 'роста', 'конкретно', 'карьерный рост', 'карьерный', 'сказать']","['работала огain не устроила зарплата проработал менять получила тридцать тысяч очень мало сравнению ожидала пункт новый людей мало зависит людей зарплата отзывы денег тратиила дорогу получала', 'сказать зарплата не малая возможности роста сказать ограничение сказать полгода технология эш уровне сказать пришел коимбрах мазел сказать говорят продолжение карьерной лестнице сказать динамичное думаю сказать стоит менять работу', 'должно цинтрийских аллах феникс дон неплохо платят карьерного роста дон особо не вид аналитике дон сидел перспектива дон туман испании дон говорю лучше молодым кадрами дон работают дон обучение дон повышение дон карьерной лестнице дон дон ушел дон туда']"
9,19,9_добраться_очень_транспорт_далеко,"['добраться', 'очень', 'транспорт', 'далеко', 'такси', 'неудобно', 'получается', 'ездит', 'ехать', 'трассе']","['зачарованная маслостанция расположение трааsse ближе население punkты далеко омнибусы ходят очень редко киото едет чeoлoвка которые омниббусе такси перерыв омниббусами очень большой ппррриезжают повтори часа работу работы уууезжжаютт часполтора позже времени основном персонал ездит автомобиля такси добраться очень неудобно', 'вообще основном слушаю спрашивают добраться проблема добраться девочкам сложно не городе находимся не рядом городом нужно поехать либо транспорт либо такси общественный транспорт остановки идти минут двадцать некоторым сложно зимой добраться летом киото велосипед может поехать ездит очень сложно добраться поэтому вопрос возникает добраться', 'новиграда плану трасса долго собирались честно получается эми часа приезжал получается дома ходила гдеето наверное начале сеедьмого туда далеко ехать особенно ночной смены например приезжал точка отправка места плюс ехала омнибусе дома получается ночной смены дом часа приезжал домой больше часов получается часов отъезжали торгового центра торгового центра добраться получается час лишние пути трассе далековато относительно новиграда заправка']"
10,13,10_акции_товар_бред_ак,"['акции', 'товар', 'бред', 'ак', 'возможность', 'должны', 'хотя', 'не', 'момент', 'торговая']","['капризные клиентка скажем трасса ашбергкарбона главная люди основном достатком повышенный требования сервиса серия должен оказал супер меган уровне кажется некоторых понятие еду главной трассе включена начиная топлива заканчивай бесплатный кофе некоторые считают шансы соответственно дорога красная бывает люди разные настроение приходят клиент доволен могут испортить настроение хотя стараешься не пропустить не менее остаток остается говорится', 'считаю принцип поставили должны торговая премию нужно дать возможность выбирать должны продавать понимаем например кафе основное значит дайте возможность торговая кафе например сроки мощности подходят товар дайте возможность товар продавать акции любые акции определенные моменты товар пришел срок либо сказано либо не родился не привязать хотя иди сразу инвентаризацию понимаете поэтому считаю давать свободу спокойно работать выбрали хотят продать не здравствуйте свидания', 'года назад случился кризис понимаю нужно срочно важное стабильное нашла написала очень маленькие дети момент не возможности искать работу уровня зад решила пойти серьзную компанию понижающую ставку не хотелось идти коммерческий структура штормило очень сильно момент задержи выплаты могли месяца не платить момент рынке нестабильный привык бред трудоустройстве примерно одинаковые бред привела компания изначально шла стабильностью надежностью уверена завтрашний дне не разорится гон тихая гавань имя компании очень важно популярный бред посмотреть прошлый опыт работы выбрала крупные компании палантирскиесети нильфгардпалантир минипалантир']"
11,13,11_ак_люди_семья_феникс,"['ак', 'люди', 'семья', 'феникс', 'коллеги', 'готовы помочь', 'дешевые', 'като', 'готовы', 'огонь']","['мог подумать работа зачарованным мастер мариборе дневной цинтрийских аллах феникс семья порой приходится работать ээ чудаками немного огня неплохие ребята атмосфера особенная', 'коллеги дешевые ак готовы помочь светом подсказзать застрял задача не армии ак друг другом кошки ак', 'неплохо заботится здравия работников эльфийскии травы настоящих помогаю като знать змеиный хвост делать мысли всяких прав прочел като люди здорово като']"
12,12,12_зеркала_дон_зеркало_видеть,"['зеркала', 'дон', 'зеркало', 'видеть', 'типа', 'дон дон', 'время привело', 'привело', 'зеркала просто', 'работой']","['мур зеркала интересно делают видеть сразу ладони мусор представляешь работой следить клиентов смотреть общаться зеркало мур интересно', 'типа раньше начал работать простое сказали зеркала безпечности типа следить никто не крал масло огненный конец стали чувствуешь постоянно прицел серебряный башня типа туалете не прячешься', 'должно цинтрийских аллах феникс дон дон понимают градоборе дон ме колпаком дон волшебный зеркало держат всюду камеры дон видно дон дон конвейере работаем не дон нарушение дон чужой дон приватности']"
13,11,13_обучение_вопросы_учить_выполнять,"['обучение', 'вопросы', 'учить', 'выполнять', 'практика', 'образование', 'хотелось', 'исследования', 'понимание профессор', 'различных']","['нравится не сидим часов компас работа руками просторная лаборатория нравятся анализы нравятся задача начальница химия развитие нравится жидкость график микроменеджмента поэтому день быстро прохоdit ом начальница дайте задача течение дня отследить франц составляющие тяжело обучаать работа хроматоография сложный процесс хочется специалист имеетттьь времени течение дня мало вдобавок сппециалности разные разные интересно ранее знать', 'сказать психологический особенно работа осталась просто остальные слежка система управления операционными часами учеба идем сначала нормально привезли идеи премии заставляют делать количество не качество несите всякий бред главное идея психологический трудно стало раньше приходили делали работу ходили нормально учеба местами фабрика идей должны хотя оплачивают проделанную обязанности которые должны выполнять выполнять фабрика идей привязывают премии не выполнять минус премия', 'думаю меншими знания начинать работать знаю случаи средний образование брали подмастерьеалхимков просто работу делать механический вообще образования вопросы задавать смысл отличие зимойлетом образование работать интересное вoвлеченнее карьерный рост говорить смысла нету не разбираться тео знания химия вообще не приходилось просто выпить нормативы актановое число нужно документацию уточнение не полноценная лаборатория отдельно расформированы пил делают экспресс тесты паспортизации']"
14,11,14_стать_понимаешь_зарплаты_зарплата,"['стать', 'понимаешь', 'зарплаты', 'зарплата', 'не хватает', 'хватает', 'ожидания', 'давно чувствуется', 'не', 'сказать']","['работа понимаешь колодец глубоко темно давно чувствуется руководство больше думает прибыли людях понимаешь смешная олив конкуренты говорят баланс понимаешь просто гонка водой дешевая атмосфера последнее месте понимаешь', 'стать пришло сюда рекомендации знакомый работал огненный змея стать стать условия похоже стать сразу видно компания заботится сотрудники стать зарплата хорошая стать бонус стать неплохие', 'человек который работает пять лет интересная история хочет разными зачарованная маслостанция довольно косячит получали расчетное лист управляющая мотивировала недостаток зарплаты не исполняется план хотя выполнялось киото постоянно косячил вовремя не списывал соответственно причине страдал надеялся следующий получу адекватную зарплату не произошло']"
15,11,15_не_медосмотр_время_стоимость,"['не', 'медосмотр', 'время', 'стоимость', 'собираем', 'не проходят', 'не уволен', 'уволен', 'потратил', 'рядовой']","['ближайшее будущем должна светит должность мастера некоторые люди уволили должность которую занимался исполняющий обязанности мастера освободился поэтому директор ищет место людей которые справится нагрузкой начнется период отпуск прочел заболел либо произойдет нужно отменить человека', 'самое главное момент многие работают собираются уволить получается не рядовой не уволен висит подвешенном состоянии фирме время время траву человек не уволен не понимаю работать не работать моменты нужно уточнять момент забирают отделе персонала например интервью проводят сразу проговаривать увольняется человек должен прийти заполнить нету като ксерокопию сделать рядовой книжки полностью заполнить службы безопасности периодически придираются анкетам', 'прошло медосмотр прошло приехал работа месте выяснилссся факт лишил премия говорю вссееех менять уустрроился киото перепутал сделал не знаю не знаю сделали бывает всякое люди можем ошиббиться причем потратил недель трудоустройство понимаете факт недели потратил голове пришел сказали получать лишил премии месяца зарплата отыщи']"
